Company,Adani Enterprises,Adani Green Energy,Adani Ports,Apollo Hospitals,Asian Paints,Axis Bank,Bajaj Auto,Bajaj Finance,Bajaj Finserv,Bharat Petroleum,Bharti Airtel,Britannia Industries,Cipla,Coal India,Divi's Laboratories,Dr. Reddy's Laboratories,Eicher Motors,Grasim Industries,HCL Technologies,HDFC Bank,HDFC Life Insurance,Hero MotoCorp,Hindalco Industries,Hindustan Unilever,ICICI Bank,ITC,IndusInd Bank,Infosys,JSW Steel,Kotak Mahindra Bank,Larsen & Toubro,Mahindra & Mahindra,Maruti Suzuki,NTPC,Nestle India,Oil & Natural Gas Corporation,Power Grid Corporation,Reliance Industries,SBI Life Insurance,Shree Cement,State Bank of India,Sun Pharmaceutical,Tata Consultancy Services,Tata Motors,Tata Steel,Tech Mahindra,Titan Company,UPL,UltraTech Cement,Wipro
Adani Enterprises,0.001477873258841408,0.0007449627680714706,0.0008168769064430404,6.869811522783218e-05,9.487628859947749e-05,0.00010157358264094054,8.701627056570253e-05,0.0001550473313824773,0.00015872485610893855,0.0002269364008341216,8.188294769749733e-05,8.248666282924925e-06,3.477296019726813e-05,0.00021541114031663016,9.328934695180096e-05,4.1928592491450415e-05,0.00013723829252208506,0.00012643901803075836,5.3276594908257825e-05,0.00010984656226193543,0.00017740350921443724,0.00010188311052079461,0.00013298135893722657,-9.940118519619418e-06,9.937644238359169e-05,1.6360357015724698e-05,0.00017622174693831012,5.499356265039794e-05,0.0001555628744785719,8.532119703811582e-05,0.000142203196653143,0.00016450071078766875,0.00010574648323440674,0.0002216152107077599,3.411426290183532e-05,0.0002037374907695635,0.0001518453942010322,0.0001616027589464552,0.00014723733510040284,9.611708143812162e-05,0.0002572295344238608,6.45740070848359e-05,4.900096336934726e-05,0.000150059639055379,0.00015295180983243895,8.002645296018837e-05,9.570232467503784e-05,0.0001856017697991209,0.0001266788335674817,8.877349044868412e-05
Adani Green Energy,0.0007449627680714706,0.0013688615783049194,0.0005123267496940511,1.935951944044544e-05,5.99837025127577e-05,6.944022438165685e-05,7.386278302664291e-05,5.486827029778033e-05,6.187034736630735e-05,0.00022054105249066306,9.841586610299104e-05,1.0559899926631877e-05,4.788149588898888e-05,0.0001745564251465234,8.41583909402592e-05,1.922853837769422e-05,9.62008081555654e-05,9.999358212303295e-05,-4.6624910906128185e-06,7.755893316855045e-05,6.0549038532799394e-05,9.35847939989101e-05,0.00014564969775302588,-1.5376121677911937e-05,9.148545852901828e-05,2.8581770203841856e-05,0.0001328126899636943,1.2127065386535195e-05,0.0001316962477839904,7.769522953697979e-05,0.00015266797205553247,0.0001069967464651543,7.807116942271817e-05,0.0001873339908038223,2.736902855871228e-05,0.00021037569153797337,0.00016031698600985805,0.00010914354054985433,7.198458898402067e-05,9.666353897919152e-05,0.0001759918431682617,6.680131712476763e-05,9.34595204487895e-06,0.0001353502003960865,0.00015652472567089973,5.3727243534334005e-05,4.1738874088726325e-05,0.0001049116214976554,9.895509651297126e-05,5.140468610125797e-05
Adani Ports,0.0008168769064430404,0.0005123267496940511,0.0007340262538360038,6.629647858923823e-05,7.058598589408661e-05,0.00011445603675187944,6.336367104900958e-05,0.00013265440928650945,0.0001367078678733114,0.00021285974265473594,8.211165311105645e-05,1.9460471451626985e-05,3.507136798977271e-05,0.00020246804704727946,4.510285944291953e-05,3.5452020071892626e-05,8.818704789982483e-05,0.00012148635827020148,4.867014203428326e-05,0.00010313658960764688,0.00012762851829076162,9.228499630913412e-05,0.00012967016677312292,7.536932213748983e-06,0.00010273905279567993,3.770292622798031e-05,0.0001746689792587062,4.969203223120351e-05,0.00013104022904984568,8.122554832733914e-05,0.00015127535445925058,0.00013860081874827077,8.526413797647707e-05,0.00021990947378127125,2.3511514702166107e-05,0.00020319711005224505,0.00018041086664477064,0.00013977672304736375,0.00012738889547143407,8.851767962493946e-05,0.00023509164731167276,6.899674516530748e-05,3.8977026060002554e-05,0.00012426703435850075,0.00014805890295550514,6.126934367194756e-05,9.630637733565679e-05,0.000141936722645735,0.0001220531440295939,8.315957083043675e-05
Apollo Hospitals,6.869811522783218e-05,1.935951944044544e-05,6.629647858923823e-05,0.0001949986469848367,3.7437785198093374e-05,2.5785108638710174e-05,4.750813543792526e-05,4.398991083029122e-05,4.309268239268671e-05,4.863764844007033e-05,3.2666741601413e-05,3.065796099162605e-05,4.728884225057362e-05,4.9955343847259075e-05,5.7392225369286806e-05,3.762471626544231e-05,5.38064562257636e-05,4.764987332283999e-05,4.142436948564018e-05,1.8333173989653026e-05,3.0951137289377704e-05,4.763560481530771e-05,2.4841032629598738e-05,1.9863869954854238e-05,2.0813480630895237e-05,2.4266720941894976e-05,2.7149098775520888e-05,2.0764450944951942e-05,5.042743144777572e-05,2.7884492767276754e-05,4.338932107460488e-05,5.705144410709084e-05,2.714243701036264e-05,4.1418628071150524e-05,3.449106985569293e-05,4.212633027982824e-05,5.132624718233487e-05,3.789036775475008e-05,3.2324560537950214e-05,3.297312141832512e-05,3.9244496885854537e-05,4.6337307557039346e-05,1.9596224358576283e-05,5.1807287206623895e-05,5.0437940489939466e-05,4.8494992158059344e-05,4.25204196864227e-05,6.382172912877676e-05,5.1563946024413904e-05,4.5292746756294834e-05
Asian Paints,9.487628859947749e-05,5.99837025127577e-05,7.058598589408661e-05,3.7437785198093374e-05,0.00014650895657704568,1.8248932671995007e-05,2.9229124406042062e-05,5.3048194363037964e-05,4.583661316572062e-05,4.766801596651061e-05,1.8703453812026918e-05,5.779006582620019e-05,2.287007273472686e-05,3.6125748698581096e-05,4.280337424014289e-05,1.2862641138776236e-05,4.330909298440537e-05,4.673804801017809e-05,2.139062820719893e-05,3.0743727879772304e-05,3.344266660753137e-05,3.303550846842562e-05,2.4276158236438115e-05,4.537551584988845e-05,2.129925856092813e-05,3.852430272374752e-05,4.813630342007426e-05,2.0112421840263177e-05,3.5339867465590985e-05,3.317357644886883e-05,3.673558349471864e-05,2.788791595501024e-05,3.5932165968428685e-05,4.378812078020356e-05,4.524170510785602e-05,2.8801444443986406e-05,2.909470081413912e-05,4.365738462136514e-05,3.169156919830283e-05,2.758101208639994e-05,2.5017179265535807e-05,2.4977304404721256e-05,2.5352260531997198e-05,2.1633568460103874e-05,3.759761973867697e-05,2.8511723110611383e-05,4.954448171762164e-05,6.239643795294144e-05,3.866917882473991e-05,2.465219651869517e-05
Axis Bank,0.00010157358264094054,6.944022438165685e-05,0.00011445603675187944,2.5785108638710174e-05,1.8248932671995007e-05,0.0001896007445730567,4.2013084869347436e-05,6.84756498768786e-05,7.23780030392859e-05,5.113303410112554e-05,3.9399444328325266e-05,1.2614289986047903e-05,2.1300738121632557e-05,7.64563417340074e-05,2.16682866854498e-05,9.966652682575193e-06,5.5557036690752165e-05,5.773577572381016e-05,2.0080746284303215e-05,6.796914138128694e-05,4.819445463461814e-05,3.4400177329255056e-05,5.39408515493719e-05,1.2077171249925818e-05,9.169479014413395e-05,3.1922926824997965e-05,9.242982587025464e-05,2.4637613846259618e-05,6.402333785261865e-05,5.287507336541442e-05,6.377546096458446e-05,6.783713309365144e-05,4.334222003272364e-05,7.805537217395212e-05,1.7223063105396374e-05,7.649575670492882e-05,5.271763664724058e-05,6.946282698215048e-05,4.298729076809033e-05,3.524410295543776e-05,0.00010571634107432471,1.2854415214107436e-05,2.2961883684162855e-05,5.6537112156222546e-05,7.340051169701435e-05,2.2233721843670234e-05,3.047571868514286e-05,6.268412171722003e-05,5.791903499393251e-05,4.072753896068037e-05
Bajaj Auto,8.701627056570253e-05,7.386278302664291e-05,6.336367104900958e-05,4.750813543792526e-05,2.9229124406042062e-05,4.2013084869347436e-05,0.00025394707468249264,3.95126917926761e-05,4.486458924870177e-05,6.375193482510413e-05,5.100144307565685e-05,2.3993917874677e-05,1.675187176600461e-05,6.555710488357708e-05,4.816583872472947e-05,3.0361187896105202e-05,7.952594010042892e-05,4.6421666329656e-05,2.8747040821501806e-05,2.7822862717685396e-05,4.5011794074802555e-05,0.00010572384385339747,5.372547795006276e-05,2.6757047251135176e-05,1.6467566555706467e-05,3.734596409937404e-05,5.907499177202621e-05,1.243609338348036e-05,5.5369790218194094e-05,2.3184205980821196e-05,4.7097063757206606e-05,9.068209842930249e-05,6.930097102897141e-05,6.0677532577683955e-05,3.8074933530656615e-05,6.001837979875805e-05,4.992993837630021e-05,4.2732154880886325e-05,4.3770482361041845e-05,3.127799042429825e-05,3.7883336063258835e-05,3.2709460843222884e-05,1.3991278873142674e-05,8.944390796105622e-05,7.367824639408262e-05,1.805553140162299e-05,4.614753579127145e-05,6.143441920238686e-05,5.2240254917925434e-05,2.4451103905653504e-05
Bajaj Finance,0.0001550473313824773,5.486827029778033e-05,0.00013265440928650945,4.398991083029122e-05,5.3048194363037964e-05,6.84756498768786e-05,3.95126917926761e-05,0.0002581663497915667,0.00018006545317256401,5.723997706882171e-05,5.172777572238551e-05,2.5379241980781104e-05,1.1312226316905837e-05,6.311681108478729e-05,2.803844156050158e-05,1.0158873909447696e-05,4.54829274324153e-05,7.252368451919457e-05,3.421281966673197e-05,6.261354520141352e-05,6.275879702990725e-05,4.075883447002756e-05,5.593940515806665e-05,1.519451314542199e-05,5.9347623201113306e-05,3.330713868272877e-05,0.00010282640150548836,5.156141511999768e-05,7.380106389599836e-05,6.462467341705167e-05,5.2862556619844586e-05,7.811314033137463e-05,5.6091982360686465e-05,7.25698508952477e-05,3.750481338009879e-05,7.491268425563564e-05,4.63107073794715e-05,6.782629598447323e-05,6.928630492652643e-05,5.004268751746005e-05,8.714977085662924e-05,2.681855084745663e-05,3.9412028031391256e-05,4.856758425407942e-05,7.724404361356792e-05,4.779081153425785e-05,6.774643637794261e-05,8.897361253725419e-05,7.361488570258518e-05,6.464040466369706e-05
Bajaj Finserv,0.00015872485610893855,6.187034736630735e-05,0.0001367078678733114,4.309268239268671e-05,4.583661316572062e-05,7.23780030392859e-05,4.486458924870177e-05,0.00018006545317256401,0.00021344146595363373,7.286512229465268e-05,4.049205380650552e-05,2.2699648217446327e-05,2.1036476449475366e-05,6.660854793026917e-05,2.7241900710668528e-05,2.4014455905709232e-05,5.4056146891529816e-05,7.093138798269086e-05,4.130063134344152e-05,5.5717037893156944e-05,7.435908745974624e-05,5.145379684712053e-05,6.344560608219765e-05,1.672814510191168e-05,5.968964591903242e-05,2.7371840825274467e-05,0.00011009863927205446,5.472711954687416e-05,7.496244884693921e-05,5.906857099294744e-05,5.687649922245153e-05,8.541045086240379e-05,5.8829889325916405e-05,7.681587163932248e-05,3.3684535696123926e-05,7.465633427952779e-05,5.429915273391603e-05,6.287297893778659e-05,8.395597075568606e-05,4.875302049868546e-05,9.517421420678987e-05,2.966999630523434e-05,4.295834423625851e-05,7.529112041384989e-05,8.52780764224326e-05,4.59246969799688e-05,7.428070243537851e-05,8.115795219899062e-05,7.093831297669544e-05,6.763408156804673e-05
Bharat Petroleum,0.0002269364008341216,0.00022054105249066306,0.00021285974265473594,4.863764844007033e-05,4.766801596651061e-05,5.113303410112554e-05,6.375193482510413e-05,5.723997706882171e-05,7.286512229465268e-05,0.00035719248714199665,4.683581504384588e-05,1.4345401328514194e-05,2.3851325812644963e-05,0.00017907402839515264,5.190362300034642e-05,4.0612007912597576e-05,6.175658386152869e-05,8.438923970913582e-05,2.6778197006437907e-05,4.792981816232101e-05,5.172221284095305e-05,7.409997413920587e-05,0.00010328867693295201,1.7613114834249107e-05,3.808662076544887e-05,4.046871137666499e-05,9.521555934753288e-05,2.329245395726263e-05,8.757801798397064e-05,3.919805104484394e-05,0.0001172315998692719,9.050104119717976e-05,5.156391313092535e-05,0.0001683582755724431,2.6101639373381624e-05,0.00019154694415063337,0.000157002466283137,9.720178104760218e-05,6.123376735904886e-05,4.4955930624947166e-05,0.00014349140919766925,4.432126768060071e-05,3.361195679678954e-05,0.00012392237197126287,0.00012265331755370658,4.832513669155338e-05,5.984692447923404e-05,8.367890165632197e-05,8.789540078395131e-05,5.758508283439614e-05
Bharti Airtel,8.188294769749733e-05,9.841586610299104e-05,8.211165311105645e-05,3.2666741601413e-05,1.8703453812026918e-05,3.9399444328325266e-05,5.100144307565685e-05,5.172777572238551e-05,4.049205380650552e-05,4.683581504384588e-05,0.00016995512597508245,2.2926234353133393e-05,2.301189355394105e-05,5.456754627513414e-05,2.7369362955897872e-05,2.4002171840031037e-05,5.2599296211251235e-05,4.902660556923655e-05,4.457985578708623e-05,3.359421943918485e-05,3.5961177814677814e-05,3.448403041860595e-05,5.7275646044029366e-05,2.1436936179841093e-05,4.782315659636818e-05,3.3224936806790594e-05,5.3916786192307637e-05,4.968196844134565e-05,6.0842879331169495e-05,5.6068253959851676e-05,5.205354015850649e-05,6.33387453377006e-05,4.8610540667366527e-05,5.8982326881248e-05,2.15199682184948e-05,6.823563450349742e-05,4.891587513502338e-05,5.383725444848035e-05,4.5834410892486616e-05,3.3433655267327964e-05,5.238057488658276e-05,3.5023378015617553e-05,3.405537615112073e-05,4.620713027729344e-05,6.162399085346342e-05,5.2926542793132206e-05,4.325973908826872e-05,5.497226605432457e-05,4.6346786306244305e-05,5.2023761459192344e-05
Britannia Industries,8.248666282924925e-06,1.0559899926631877e-05,1.9460471451626985e-05,3.065796099162605e-05,5.779006582620019e-05,1.2614289986047903e-05,2.3993917874677e-05,2.5379241980781104e-05,2.2699648217446327e-05,1.4345401328514194e-05,2.2926234353133393e-05,0.00014621091807159143,1.8800866547780986e-05,9.888046730206468e-06,2.1545215350896096e-05,1.872020114998308e-05,2.1380559540267285e-05,2.956249057525868e-05,2.368491552096026e-05,3.3632852804547623e-06,5.851780576158629e-07,3.0334051434531426e-05,1.1150190495160958e-05,6.868420998698552e-05,8.235951502626762e-06,5.604790766830432e-05,2.7155006685124137e-05,1.6823929250191956e-05,2.361474886982276e-05,3.3001717251309925e-05,1.7396315911816645e-05,2.721750272549114e-05,2.5274281452116644e-05,8.73494816383127e-06,6.656090049571025e-05,4.276079991158827e-06,-1.3115502502874353e-07,2.354469495196986e-05,1.3278491347609444e-05,2.2688497946631692e-05,6.981072443639647e-06,2.3310030971180392e-05,2.251716122591702e-05,1.577591029035639e-05,1.0974417416608296e-05,2.087526650509317e-05,1.4422795943567103e-05,2.4892416627861806e-05,2.351443551889872e-05,2.7260185222600932e-05
Cipla,3.477296019726813e-05,4.788149588898888e-05,3.507136798977271e-05,4.728884225057362e-05,2.287007273472686e-05,2.1300738121632557e-05,1.675187176600461e-05,1.1312226316905837e-05,2.1036476449475366e-05,2.3851325812644963e-05,2.301189355394105e-05,1.8800866547780986e-05,0.00022481377216569678,3.086083202981682e-05,7.0059098760622e-05,7.10801191954549e-05,1.518531187357564e-05,3.0362953077773215e-05,1.4930627496100976e-05,6.1429428656563184e-06,1.5614177375147126e-05,3.7602430087528746e-05,2.9757127175135203e-05,8.674830257920188e-06,1.3626376990692029e-05,2.0834253211400792e-05,2.441272425830774e-05,2.1730972521047373e-05,2.9515857621845432e-05,1.379325113166461e-05,3.90106506204069e-05,3.223698077052811e-05,1.684470324752716e-05,3.265827382171912e-05,1.7091461350909298e-05,2.3143050106683293e-05,3.51319830987255e-05,2.0990258838876694e-05,3.12412436096862e-05,1.6557935851815812e-05,1.5566599361684666e-05,6.280532730669961e-05,1.880942871690591e-05,2.5171328094165826e-05,3.4561275443450834e-05,1.7892692583920323e-05,1.8227515269260724e-05,3.8525934607929725e-05,2.5379231828279693e-05,2.623165656517498e-05
Coal India,0.00021541114031663016,0.0001745564251465234,0.00020246804704727946,4.9955343847259075e-05,3.6125748698581096e-05,7.64563417340074e-05,6.555710488357708e-05,6.311681108478729e-05,6.660854793026917e-05,0.00017907402839515264,5.456754627513414e-05,9.888046730206468e-06,3.086083202981682e-05,0.0003313093394352379,4.905682342883221e-05,4.05274612124077e-05,7.732266959688573e-05,7.806734236289336e-05,5.0115649393630216e-05,6.027165115678074e-05,5.597757822254195e-05,7.659353616822282e-05,0.0001277131304977057,-3.1277702417270205e-07,4.5360445518485947e-05,4.143958647137043e-05,0.00010534475052119092,2.693892236577784e-05,0.00011021880545377325,5.125786659394139e-05,0.00012519616896803742,8.040967476411054e-05,5.556380978520326e-05,0.00018211256954318863,2.775621623949462e-05,0.00020316596888698038,0.00014713602918482775,0.00010180230421969216,6.706983619135164e-05,4.75411497295579e-05,0.00013293479976347723,4.306101011590842e-05,2.6928661861909036e-05,0.00011520640237072313,0.00015483789513699494,4.938814902217597e-05,5.634864218664664e-05,0.00010818448120533677,7.364503980829229e-05,6.789348431122427e-05
Divi's Laboratories,9.328934695180096e-05,8.41583909402592e-05,4.510285944291953e-05,5.7392225369286806e-05,4.280337424014289e-05,2.16682866854498e-05,4.816583872472947e-05,2.803844156050158e-05,2.7241900710668528e-05,5.190362300034642e-05,2.7369362955897872e-05,2.1545215350896096e-05,7.0059098760622e-05,4.905682342883221e-05,0.0002866471802685438,6.157921426356291e-05,4.435750592155921e-05,4.3391171122354864e-05,2.9272038236584485e-05,1.1205593014614695e-05,4.236394818968734e-05,4.6289726519381036e-05,8.279106229024764e-05,1.832965875007994e-05,9.237266062291251e-06,1.8118514400053337e-05,2.800149664860208e-05,3.478608247364848e-05,5.072366358892699e-05,1.9264936880053155e-05,3.0398057872139938e-05,5.2658682585979516e-05,3.055520946809888e-05,3.575100933490882e-05,2.1996076152524686e-05,4.397305283028214e-05,2.9365718575131063e-05,3.114687705946599e-05,2.554502876595907e-05,3.033800476592957e-05,1.526122798463829e-05,5.301257047570846e-05,2.797954817580779e-05,3.5806894463101957e-05,6.544372162540969e-05,5.484108894329151e-05,1.3982084716985901e-05,6.713987819493085e-05,4.2685884088916566e-05,5.74916296416637e-05
Dr. Reddy's Laboratories,4.1928592491450415e-05,1.922853837769422e-05,3.5452020071892626e-05,3.762471626544231e-05,1.2862641138776236e-05,9.966652682575193e-06,3.0361187896105202e-05,1.0158873909447696e-05,2.4014455905709232e-05,4.0612007912597576e-05,2.4002171840031037e-05,1.872020114998308e-05,7.10801191954549e-05,4.05274612124077e-05,6.157921426356291e-05,0.00015579601475876017,2.3101097534544637e-05,3.6169526159132016e-05,3.334602506436512e-05,2.1119554745832986e-05,8.271865522268224e-06,2.996464690805761e-05,5.2658500653929944e-05,1.290595308662059e-05,8.692913423168992e-07,2.6564706352786048e-05,2.4092462742487678e-05,3.434026687691678e-05,4.387643676740432e-05,3.638402854259953e-07,3.3332519785178825e-05,4.350310456598942e-05,1.5688346509929666e-05,3.842842335848561e-05,2.472077574252129e-05,3.8577084660025884e-05,3.616791189039983e-05,2.909937645989089e-05,3.222926948485881e-05,1.3868666014267462e-05,2.1924790530999005e-05,5.418809463335323e-05,2.8557650702778892e-05,3.929105009012085e-05,4.146385641396219e-05,3.442304405058667e-05,1.9946451315202307e-05,3.5028724874446475e-05,3.676150997598424e-05,4.8169364750803345e-05
